"level_1_id","payload","title"
"1","undergraduate","Undergraduate"
"2","postgraduate","Postgraduate"
"3","postgraduatediploma","Postgraduate Diploma"
"4","diploma","Diploma"
"5","phd","PhD"
"14","fees","Fees","4"
"15","admissiondetails","Admission Details","4"
"16","faqs","FAQ's","4"
"17","subjectdetails","Subject Details","5"
"18","fees","Fees","5"
"19","admissiondetails","Admission Details","5"
"20","faq","FAQ's","5"
"21","subjectdetails","Subject Details","6"
"22","fees","Fees","6"
"23","admissiondetails","Admission Details","6"
"24","faq","FAQ's","6"
"25","subjectdetails","Subject Details","7"
"26","fees","Fees","7"
"27","admissiondetails","Admission Details","7"
"28","faq","FAQ's","7"
"29","subjectdetails","Subject Details","8"
"30","fees","Fees","8"
"31","admissiondetails","Admission Details","8"
"32","faq","FAQ's","8"
"33","subjectdetails","Subject Details","9"
"34","fees","Fees","9"
"35","admissiondetails","Admission Details","9"
"36","faq","FAQ's","9"
"37","subjectdetails","Subject Details","10"
"38","fees","Fees","10"
"39","admissiondetails","Admission Details","10"
"40","faq","FAQ's","10"
"41","subjectdetails","Subject Details","11"
"42","fees","Fees","11"
"43","admissiondetails","Admission Details","11"
"44","faq","FAQ's","11"
"45","subjectdetails","Subject Details","12"
"46","fees","Fees","12"
"47","admissiondetails","Admission Details","12"
"48","faq","FAQ's","12"
"49","subjectdetails","Subject Details","13"
"50","fees","Fees","13"
"51","admissiondetails","Admission Details","13"
"52","faq","FAQ's","13"
"53","subjectdetails","Subject Details","14"
"54","fees","Fees","14"
"55","admissiondetails","Admission Details","14"
"56","faq","FAQ's","14"
"57","subjectdetails","Subject Details","15"
"58","fees","Fees","15"
"59","admissiondetails","Admission Details","15"
"60","faq","FAQ's","15"
"61","subjectdetails","Subject Details","16"
"62","fees","Fees","16"
"63","admissiondetails","Admission Details","16"
"64","faq","FAQ's","16"
"65","subjectdetails","Subject Details","17"
"66","fees","Fees","17"
"67","admissiondetails","Admission Details","17"
"68","faq","FAQ's","17"
"69","subjectdetails","Subject Details","18"
"70","fees","Fees","18"
"71","admissiondetails","Admission Details","18"
"72","faq","FAQ's","18"
"73","subjectdetails","Subject Details","19"
"74","fees","Fees","19"
"75","admissiondetails","Admission Details","19"
"76","faq","FAQ's","19"
"77","subjectdetails","Subject Details","20"
"78","fees","Fees","20"
"79","admissiondetails","Admission Details","20"
"80","faq","FAQ's","20"
"81","subjectdetails","Subject Details","21"
"82","fees","Fees","21"
"83","admissiondetails","Admission Details","21"
"84","faq","FAQ's","21"
"85","subjectdetails","Subject Details","22"
"86","fees","Fees","22"
"87","admissiondetails","Admission Details","22"
"88","faq","FAQ's","22"
"89","subjectdetails","Subject Details","23"
"90","fees","Fees","23"
"91","admissiondetails","Admission Details","23"
"92","faq","FAQ's","23"
"93","subjectdetails","Subject Details","24"
"94","fees","Fees","24"
"95","admissiondetails","Admission Details","24"
"96","faq","FAQ's","24"
"97","subjectdetails","Subject Details","25"
"98","fees","Fees","25"
"99","admissiondetails","Admission Details","25"
"100","faq","FAQ's","25"
"101","subjectdetails","Subject Details","32"
"102","fees","Fees","32"
"103","admissiondetails","Admission Details","32"
"104","faq","FAQ's","32"
"105","subjectdetails","Subject Details","26"
"106","fees","Fees","26"
"107","admissiondetails","Admission Details","26"
"108","faq","FAQ's","26"
"109","subjectdetails","Subject Details","27"
"110","fees","Fees","27"
"111","admissiondetails","Admission Details","27"
"112","faq","FAQ's","27"
"113","subjectdetails","Subject Details","28"
"114","fees","Fees","28"
"115","admissiondetails","Admission Details","28"
"116","faq","FAQ's","28"
"117","subjectdetails","Subject Details","29"
"118","fees","Fees","29"
"119","admissiondetails","Admission Details","29"
"120","faq","FAQ's","29"
"121","subjectdetails","Subject Details","30"
"122","fees","Fees","30"
"123","admissiondetails","Admission Details","30"
"124","faq","FAQ's","30"
"125","subjectdetails","Subject Details","31"
"126","fees","Fees","31"
"127","admissiondetails","Admission Details","31"
"128","faq","FAQ's","31"
"129","subjectdetails","Subject Details","32"
"130","fees","Fees","32"
"131","admissiondetails","Admission Details","32"
"132","faq","FAQ's","32"
"133","subjectdetails","Subject Details","33"
"134","fees","Fees","33"
"135","admissiondetails","Admission Details","33"
"136","faq","FAQ's","33"
"137","subjectdetails","Subject Details","34"
"138","fees","Fees","34"
"139","admissiondetails","Admission Details","34"
"140","faq","FAQ's","34"
"141","subjectdetails","Subject Details","35"
"142","fees","Fees","35"
"143","admissiondetails","Admission Details","35"
"144","faq","FAQ's","35"
"145","subjectdetails","Subject Details","36"
"146","fees","Fees","36"
"147","admissiondetails","Admission Details","36"
"148","faq","FAQ's","36"
"level_5_id","level_4_id_fk","details"
"1","1","This B.Sc programme is for students interested in 
Object Oriented Programming, 
Database Administration, 
Web Designing, 
Software Engineering, 
Computer Networking, 
Operating systems, 
Server Side Programming, 
Mobile Application Development, 
Multimedia Techniques etc.

B.Sc curriculum includes core courses in:
Programming, 
Advanced Database Management Systems, 
Operating Systems, Data Structures, 
Computer Networking, 
Computer Architecture & Organization etc. 

The elective courses include:
Software engineering, 
Web Designing, Server Side Programming, 
Embedded Systems, 
HCI, 
Cloud Computing, software Testing, 
Multimedia Techniques, 
Digital Marketing etc.
"
"2","2","University fees : 630.00
Tuition fees : 2050.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 21415.00"
"3","3","How to apply:
To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/
and complete the online admission form as per instructions provided therein.
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self-attested) of each of the following documents
along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript of
records, copy of syllabus containing details of course of studies pursued in various courses in the
examination passed by the applicant (duly countersigned by High Commissioner of India in the
country). If the student is found eligible, prima facie letter will be sent to the student for carrying
out further necessary formalities. Following documents are required to be submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy
"
"4","4",
"5","5","BSc Chemistry is a 3 years undergraduate course in India. The course curriculum deals with various aspects of chemistry including chemical reactions and chemical composition of substances.

B.Sc curriculum includes core courses in:
General Physical and Inorganic Chemistry,
General Organic and Inorganic Chemistry,
Concepts in Physical and Analytical Chemistry,
Concepts in Organic and Inorganic Chemistry,
Comprehensive Chemistry –I,
Comprehensive Chemistry –II,
Advanced Chemistry – I (Physical & Inorganic Chemistry), 
Advanced Chemistry-II : Organic and Analytical Chemistry, etc.

The elective courses include:
Name Reactions and Synthetic Methodologies,
Introduction to Industrial Chemistry,
Surface Chemistry and Catalysis,
Bioinorganic Chemistry,
Pharmaceutical Chemistry,
Polymer and Colloid Science,
Spectroscopic Techniques,
Chemistry of Natural Products, 
Heterocyclic Chemistry,
Nanomaterials and solid state Chemistry,
Organometallic Chemistry,
Chemistry of main group elements,
Spectroscopic Methods in Organic Chemistry,
Environmental Chemistry,
Selected Topics in Inorganic Chemistry, etc
"
"6","6","University fees : 630.00
Tuition fees : 2050.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 49300.00
"
"7","7","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"8","8",
"9","9","Bachelor of Science in Biochemistry or BSc Biochemistry is a 3-year undergraduate course in chemical and physio-chemical processes. It is a branch of science that deals with chemistry applied to the study of living organisms and the atoms and molecules which comprise living organisms.

B.Sc curriculum includes core courses in:
Molecules of Life, Cell Biology, 
Protein chemistry, Biophysics, 
Enzymology, 
Metabolism of Biomolecules, 
Tools & Techniques in Biochemistry, 
Microbiology, 
Molecular biology, 
Immunology, etc

The elective courses include:
Bioethics and Biosafety, 
Plant Biochemistry, 
Human physiology, 
Nutritional Biochemistry, 
Hormone: Biochemistry and Function, 
Advanced Cell Biology, 
Concepts in genetics, 
Regulation of gene expression, 
Genetic Engineering and Biotechnology, 
Bioinformatics, 
Biochemical correlation of Diseases, 
Clinical Biochemistry,
Environmental Biochemistry, 
Industrial Biochemistry, etc.
"
"10","10","University fees : 800.00
Tuition fees : 2050.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 43000.00
"
"11","11","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"12","12",
"13","13","BSc Geography or Bachelor in Science in Geography is an undergraduate degree with an emphasis on Geography for 3 years. It is the study of the Earth and its many properties, characteristics, people and phenomena, in addition to the map and geographical image-interpretation.

B.Sc curriculum includes core courses in:
Introduction to Geography,
Fundamentals of Physical Geography,
Measurement Systems in Geography (Practical),
Practical’s in Physical Geography (Practical),
Basics of Human Geography,
Basics of Regional Geography,
Practical’s in Human Geography (Practical’s),
Practicals  in Regional Geography (Practical’s),
Fundamentals of Remote Sensing and GIS,
Fundamentals of Geomorphology,
Fundamentals of Climatology,
Ecology and Terrestrial Environment

The elective courses include:
Spatial Analysis,
Raster and Vector Data Models in GIS,
Participatory GIS,
Applied GIS,
Coastal Geomorphology,
Fluvial Geomorphology,
Watershed Management,
Biogeography,
Geography of Soil Studies,
AgroMeteorology: Principles and Applications,
Field Survey in Physical Geography,
Quantitative Techniques in Geography,
Remote Sensing and Forest Ecology,
Advanced Coastal Geomorphology,
Ecology of Estuarine Environment,
Disaster Management: Urban and Coastal, etc
"
"14","14","University fees : 650.00
Tuition fees : 4000.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 1470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 41000.00
"
"15","15","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"16","16",
"17","17","B.Sc curriculum includes core courses in:
Basic Algebra
Basic Real Analysis
Coordinate Geometry
Mathematical Analysis
Differential Equations
Linear Algebra
Functions of Several Variables
Vector Analysis

The elective courses include:
Abstract Algebra
Number theory
Combinatorics
Numerical Methods
Advanced Analysis
Operations Research
Cryptography
Metric Spaces
Graph Theory
Pedagogy of Mathematics
Complex Analysis
Probability Theory
Computers for Mathematics
Computational Linear Algebra
"
"18","18","University fees : 780.00
Tuition fees : 5050.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Library fee : 470.00
Other fee : 420.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 46390.00
"
"19","19","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"20","20",
"21","21","BSc Geology or Bachelor of Science in Geology is a 3 year-long undergraduate level bachelor degree course focused on earth science. The course involves the study of rocks, minerals, other solid substances, their compositions, their history and other processes involving them.

B.Sc curriculum includes core courses in:
Fundamentals of Mineralogy,
Earth’s Dynamics and Tectonics,
Elementary Petrology,
Principles of Stratigraphy and Paleontology,
Advanced Mineralogy and Geochemistry,
Structural Geology,
Sedimentary Petrology,
Core Project,
Igneous Petrology.

The elective courses include:
Physical Geology
Groundwater and Hydrogeology
Ore Genesis
Marine Geology
Operational Geology and Gemmology
Engineering Geology
Optical Mineralogy
Natural Hazards and Management
Geotectonics GIS for Beginners 
Precambrian Stratigraphy of India
Petroleum Geology
Metamorphic Petrology
Remote Sensing and Digital Image Processing
Phanerozoic Stratigraphy of India
Rock Structures and Deformation Microstructures
Surveying, Mapping and Field Geology
Principles of Geophysical Exploration and Mining
"
"22","22","University fees : 620.00
Tuition fees : 4000.00
Examination fees : 5000.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 3070.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 39600.00
"
"23","23","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"24","24",
"25","25","Bachelor of Science in Biotechnology is a 3-year undergraduate course that allows the candidates to learn how technology is utilized to create useful and necessary products from living organisms. With advancement of genetic engineering and the subsequent rise in research related to the field of pharmacy, Courses in Biotechnology are in huge demand.

B.Sc curriculum includes core courses in:
Biomolecules, 
Cell Biology, 
Fundamental Genetics, 
Basic Microbiology, 
Molecular Biology, 
Immunology, 
Concepts in Genetic Engineering, 
Industrial Biotechnology, etc.

The elective courses include:
Basics of Plant and Animal Sciences,
Metabolism of Biomolecules, 
Biostatistics, Enzymology, 
Plant and Animal Physiology, 
Tools & Techniques in Biotechnology, 
Evolution and Anthropology, 
Molecular genetics, 
Molecular medicine,
Environmental Biotechnology, 
Plant Biotechnology, 
Bioinformatics, 
Bioethics and Biosafety, 
Advanced Cell Biology,
Food Biotechnology, 
Animal Cell Culture, etc.
"
"26","26","University fees : 750.00
Tuition fees : 3000.00
Examination fees : 3550.00
General deposit : 330.00
Student aid fund : 130.00
Gymkhana fund : 620.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 9000
Total : 41500.00
"
"27","27","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"28","28",
"29","29","BSc Botany or Bachelor of Science in Botany is a 3-year undergraduate degree course, which deals with the study of plants and their physiology.

B.Sc curriculum includes core courses in:
Plant diversity,
Cell Biology & Biomolecules,
Plant Anatomy and Embryology,
Microbiology,
Physiology of Plants,
Cytogenetics,
Plant Molecular Biology,
Plant Biotechnology and Genetic Engineering, etc.

The elective courses include:
Ecology & Conservation,
Techniques and Instrumentation in Botany,
Enzymes and metabolic pathways,
Herbal Cosmetology,
Plant Breeding and Biostatistics,
Systematics of Flowering plants and Phylogeny,
Plant pathology,
Algal Biotechnology,
Bioinformatics,
Seed Technology,
Plant drug Technology & Pharmacognosy,
Organic Farming,
Plant tissue culture,
Horticulture, Floriculture & Landscaping,
Economic Botany,
Applied Mycology,etc
"
"30","30","University fees : 6400.00
Tuition fees : 3900.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
Student service charge : 10000.00
IAIMS fees : 265.00

Total : 48000.00
"
