"level_5_id","level_4_id_fk","details"
"11","11","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"12","12",
"13","13","BSc Geography or Bachelor in Science in Geography is an undergraduate degree with an emphasis on Geography for 3 years. It is the study of the Earth and its many properties, characteristics, people and phenomena, in addition to the map and geographical image-interpretation.

B.Sc curriculum includes core courses in:
Introduction to Geography,
Fundamentals of Physical Geography,
Measurement Systems in Geography (Practical),
Practical’s in Physical Geography (Practical),
Basics of Human Geography,
Basics of Regional Geography,
Practical’s in Human Geography (Practical’s),
Practicals  in Regional Geography (Practical’s),
Fundamentals of Remote Sensing and GIS,
Fundamentals of Geomorphology,
Fundamentals of Climatology,
Ecology and Terrestrial Environment

The elective courses include:
Spatial Analysis,
Raster and Vector Data Models in GIS,
Participatory GIS,
Applied GIS,
Coastal Geomorphology,
Fluvial Geomorphology,
Watershed Management,
Biogeography,
Geography of Soil Studies,
AgroMeteorology: Principles and Applications,
Field Survey in Physical Geography,
Quantitative Techniques in Geography,
Remote Sensing and Forest Ecology,
Advanced Coastal Geomorphology,
Ecology of Estuarine Environment,
Disaster Management: Urban and Coastal, etc
"
"14","14","University fees : 650.00
Tuition fees : 4000.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 1470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 41000.00
"
"15","15","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"16","16",
"17","17","B.Sc curriculum includes core courses in:
Basic Algebra
Basic Real Analysis
Coordinate Geometry
Mathematical Analysis
Differential Equations
Linear Algebra
Functions of Several Variables
Vector Analysis

The elective courses include:
Abstract Algebra
Number theory
Combinatorics
Numerical Methods
Advanced Analysis
Operations Research
Cryptography
Metric Spaces
Graph Theory
Pedagogy of Mathematics
Complex Analysis
Probability Theory
Computers for Mathematics
Computational Linear Algebra
"
"18","18","University fees : 780.00
Tuition fees : 5050.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Library fee : 470.00
Other fee : 420.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 46390.00
"
"19","19","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"20","20",
"21","21","BSc Geology or Bachelor of Science in Geology is a 3 year-long undergraduate level bachelor degree course focused on earth science. The course involves the study of rocks, minerals, other solid substances, their compositions, their history and other processes involving them.

B.Sc curriculum includes core courses in:
Fundamentals of Mineralogy,
Earth’s Dynamics and Tectonics,
Elementary Petrology,
Principles of Stratigraphy and Paleontology,
Advanced Mineralogy and Geochemistry,
Structural Geology,
Sedimentary Petrology,
Core Project,
Igneous Petrology.

The elective courses include:
Physical Geology
Groundwater and Hydrogeology
Ore Genesis
Marine Geology
Operational Geology and Gemmology
Engineering Geology
Optical Mineralogy
Natural Hazards and Management
Geotectonics GIS for Beginners 
Precambrian Stratigraphy of India
Petroleum Geology
Metamorphic Petrology
Remote Sensing and Digital Image Processing
Phanerozoic Stratigraphy of India
Rock Structures and Deformation Microstructures
Surveying, Mapping and Field Geology
Principles of Geophysical Exploration and Mining
"
"22","22","University fees : 620.00
Tuition fees : 4000.00
Examination fees : 5000.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 3070.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 39600.00
"
"23","23","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"24","24",
"25","25","Bachelor of Science in Biotechnology is a 3-year undergraduate course that allows the candidates to learn how technology is utilized to create useful and necessary products from living organisms. With advancement of genetic engineering and the subsequent rise in research related to the field of pharmacy, Courses in Biotechnology are in huge demand.

B.Sc curriculum includes core courses in:
Biomolecules, 
Cell Biology, 
Fundamental Genetics, 
Basic Microbiology, 
Molecular Biology, 
Immunology, 
Concepts in Genetic Engineering, 
Industrial Biotechnology, etc.

The elective courses include:
Basics of Plant and Animal Sciences,
Metabolism of Biomolecules, 
Biostatistics, Enzymology, 
Plant and Animal Physiology, 
Tools & Techniques in Biotechnology, 
Evolution and Anthropology, 
Molecular genetics, 
Molecular medicine,
Environmental Biotechnology, 
Plant Biotechnology, 
Bioinformatics, 
Bioethics and Biosafety, 
Advanced Cell Biology,
Food Biotechnology, 
Animal Cell Culture, etc.
"
"26","26","University fees : 750.00
Tuition fees : 3000.00
Examination fees : 3550.00
General deposit : 330.00
Student aid fund : 130.00
Gymkhana fund : 620.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 9000
Total : 41500.00
"
"27","27","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"28","28",
"29","29","BSc Botany or Bachelor of Science in Botany is a 3-year undergraduate degree course, which deals with the study of plants and their physiology.

B.Sc curriculum includes core courses in:
Plant diversity,
Cell Biology & Biomolecules,
Plant Anatomy and Embryology,
Microbiology,
Physiology of Plants,
Cytogenetics,
Plant Molecular Biology,
Plant Biotechnology and Genetic Engineering, etc.

The elective courses include:
Ecology & Conservation,
Techniques and Instrumentation in Botany,
Enzymes and metabolic pathways,
Herbal Cosmetology,
Plant Breeding and Biostatistics,
Systematics of Flowering plants and Phylogeny,
Plant pathology,
Algal Biotechnology,
Bioinformatics,
Seed Technology,
Plant drug Technology & Pharmacognosy,
Organic Farming,
Plant tissue culture,
Horticulture, Floriculture & Landscaping,
Economic Botany,
Applied Mycology,etc
"
"30","30","University fees : 6400.00
Tuition fees : 3900.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
Student service charge : 10000.00
IAIMS fees : 265.00

Total : 48000.00
"
"31","31","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"32","32",
"33","33","Bachelor of Science in Physics or BSc Physics is a 3 year undergraduate course, which deals with the nuances of Physics and its various properties. The curriculum is divided into 6 semesters, spanning over three years. It includes the specialized scientific study of Physics, Mathematics, and Chemistry in detail.

B.Sc curriculum includes core courses in:
Introduction to Mathematical Physics
Mechanics
Heat and Thermodynamics
Electricity and Magnetism
Electromagnetic Theory
Quantum Mechanics
Atomic and Molecular Physics

The elective courses include:
Optics
Modern Physics
Oscillations, Waves and Sound
Introduction to Astronomy and Astrophysics
Instrumentation 
Electronics 
Introduction to Error Analysis
Properties of Matter and Acoustics
Computational Physics
Solid State Physics
Thermodynamics and Statistical Mechanics
Mathematical Physics
Solid State Devices
Nuclear and Elementary Particle Physics
Introduction to Special Theory of Relativity
Introduction to Material Science
"
"34","34","University fees : 620.00
Tuition fees : 4000.00
Examination fees : 5000.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 6000.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 42600.00
"
"35","35","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"36","36",
"37","37","A three year bachelor's degree program in English language focuses on different aspects of the subject. This course looks at the history, grammar, and ancient forms of English.. Individuals who wish to teach English will need to take additional education courses in order to obtain a teaching license.

B.a curriculum includes core courses in:
Understanding Poetry & Drama
History of English Literature from Fifth Century to the Eighteenth Century
Understanding
Fiction An Introduction to Linguistics & Stylistics
Contemporary Indian English Literature 
Literary Criticism
Nineteenth Century English Literature
Twentieth Century English Literature

Effective English Communication (Science Stream)

The elective courses include:
Women’s Writing in India
American Literature of the Twentieth Century
Writing for the Media 
New Literatures in English
The Literature of the Indian Diaspora
Visual Literature
World Literature
Shakespeare Today
English Language and Literature Teaching
Ancient Indian Classics in Translation OR Modern Indian Literature in Translation
Latin American Literature
Film Studies
Contemporary Literary Theory
Goan Literature and Culture
Representation of Gender & Sexuality in Literature
"
"38","38","University fees : 630.00
Tuition fees : 1530.00
Examination fees : 3250.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Student service charges : 10000.00
IAIMS fees: 225

Total : 26035.00
"
"39","39","How to apply:
To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/
and complete the online admission form as per instructions provided therein.
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self-attested) of each of the following documents
along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript of
records, copy of syllabus containing details of course of studies pursued in various courses in the
examination passed by the applicant (duly countersigned by High Commissioner of India in the
country). If the student is found eligible, prima facie letter will be sent to the student for carrying
out further necessary formalities. Following documents are required to be submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy
"
"40","40",
"41","41","economics"
"42","42","University fees : 620.00
Tuition fees : 1930.00
Examination fees : 3650.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Student service charges : 10000.00
IAIMS fees: 225

Total : 28995.00
"
